0,1,2,credits,imdbId,movieId,overview,popularity,production_countries,release_date,tmdbId,vote_average
1077,Sleeper (1973),Comedy|Sci-Fi,Woody Allen,70707.0,1077.0,"Miles Monroe, a clarinet-playing health food store proprietor, is revived out of cryostasis 200 years into a future world in order to help rebels fight an oppressive government regime.",6.9929999999999986,United States of America,1973-12-17,11561.0,7.1
1078,Bananas (1971),Comedy|War,Woody Allen,66808.0,1078.0,"When a bumbling New Yorker is dumped by his activist girlfriend, he travels to a tiny Latin American nation and becomes involved in its latest rebellion.",7.152,United States of America,1971-04-28,11302.0,6.8
1079,"Fish Called Wanda, A (1988)",Comedy,Charles Crichton,95159.0,1079.0,"A diamond advocate is attempting to steal a collection of diamonds, yet troubles arise when he realizes that he is not the only one after the diamonds.",12.577,United Kingdom,1988-07-15,623.0,7.3
1080,Monty Python's Life of Brian (1979),Comedy,Terry Jones,79470.0,1080.0,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",11.581,United Kingdom,1979-08-17,583.0,7.8
1081,Victor/Victoria (1982),Comedy|Musical,Tony Adams,84865.0,1081.0,"A struggling female soprano finds work playing a male female impersonator, but it complicates her personal life.",7.007999999999999,United Kingdom,1982-04-25,12614.0,7.1
1082,"Candidate, The (1972)",Drama,Michael Ritchie,68334.0,1082.0,"Bill McKay is a candidate for the U.S. Senate from California. He has no hope of winning, so he is willing to tweak the establishment.",3.488,United States of America,1972-08-23,21711.0,7.0
1083,"Great Race, The (1965)",Comedy|Musical,Blake Edwards,59243.0,1083.0,"Professional daredevil and white-suited hero, The Great Leslie, convinces turn-of-the-century auto makers that a race from New York to Paris (westward across America, the Bering Straight and Russia) will help to promote automobile sales. Leslie's arch-rival, the mustached and black-attired Professor Fate vows to beat Leslie to the finish line in a car of Fate's own invention.",6.209,United States of America,1965-07-01,11575.0,7.4
1084,Bonnie and Clyde (1967),Crime|Drama,Arthur Penn,61418.0,1084.0,"In the 1930s, the gangster pair Bonnie Parker and Clyde Barrow began robbing banks in U.S. cities until they were eventually killed in a police shoot-out.",11.395,United States of America,1967-07-18,475.0,7.6
1085,"Old Man and the Sea, The (1958)",Adventure|Drama,John Sturges,52027.0,1085.0,"Based on one of Hemingway's most famous works, it centers upon Santiago, an aging, down on his luck Cuban fisherman. After catching nothing for nearly 3 months, he hooks a huge Marlin and struggles to land it far out in the Gulf Stream.",2.8160000000000003,United States of America,1958-10-07,11331.0,6.4
1086,Dial M for Murder (1954),Mystery|Thriller,Alfred Hitchcock,46912.0,1086.0,"An ex-tennis pro carries out a plot to have his wife murdered after discovering she is having an affair, and assumes she will soon leave him for the other man anyway. When things go wrong, he improvises a new plan—to frame her for murder instead.",19.807,United States of America,1954-05-29,521.0,8.0
1087,Madame Butterfly (1995),Musical,Frédéric Mitterrand,113731.0,1087.0,"Cio-Cio-San, a young Japanese geisha, seeks to fulfill her dreams through marriage to an American naval officer. Her faith in their future is shattered by his empty vows and the loss she endures touches something deep within us all.",0.6,,1995-11-22,21202.0,5.3
1088,Dirty Dancing (1987),Musical|Romance,Emile Ardolino,92890.0,1088.0,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer – and unexpectedly falling in love.",14.202,United States of America,1987-08-21,88.0,7.3
1089,Reservoir Dogs (1992),Crime|Thriller,Quentin Tarantino,105236.0,1089.0,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",19.982,United States of America,1992-09-02,500.0,8.2
1090,Platoon (1986),Drama|War,Oliver Stone,91763.0,1090.0,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",14.387,United States of America,1986-12-19,792.0,7.7
1091,Weekend at Bernie's (1989),Comedy,Ted Kotcheff,98627.0,1091.0,"Two friends are invited for a weekend to a luxury island with their boss. The boss gets shot and nobody seems to notice, except for the two friends. In order not to become suspects of murder they treat the body as a puppet and make people believe he's still alive. The killer wants to do his job so when he is informed that the stiff is still alive he's got to shoot him again, and again, and again.",8.074,United States of America,1989-07-05,8491.0,6.4
1092,Basic Instinct (1992),Mystery|Thriller,Paul Verhoeven,103772.0,1092.0,"A police detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved.",16.6,France,1992-03-20,402.0,6.7
1093,"Doors, The (1991)",Drama|Musical,Oliver Stone,101761.0,1093.0,"The story of the famous and influential 1960's rock band and its lead singer and composer, Jim Morrison.",6.944,United States of America,1991-03-01,10537.0,6.9
1094,"Crying Game, The (1992)",Drama|Romance|War,Neil Jordan,104036.0,1094.0,"Irish Republican Army member Fergus (Stephen Rea) forms an unexpected bond with Jody (Forest Whitaker), a kidnapped British soldier in his custody, despite the warnings of fellow IRA members Jude (Miranda Richardson) and Maguire (Adrian Dunbar). Jody makes Fergus promise he'll visit his girlfriend, Dil (Jaye Davidson), in London, and when Fergus flees to the city, he seeks her out. Hounded by his former IRA colleagues, he finds himself increasingly drawn to the enigmatic, and surprising, Dil.",7.801,Japan,1992-09-02,11386.0,7.0
1095,Glengarry Glen Ross (1992),Drama,James Foley,104348.0,1095.0,"Glengarry Glen Ross, follows the lives of four unethical Chicago real estate agents who are prepared to go to any lengths (legal or illegal) to unload undesirable real estate on unwilling prospective buyers.",5.598,United States of America,1992-09-15,9504.0,7.5
1096,Sophie's Choice (1982),Drama,Alan J. Pakula,84707.0,1096.0,"Stingo, a young writer, moves to Brooklyn in 1947 to begin work on his first novel. As he becomes friendly with Sophie and her lover Nathan, he learns that she is a Holocaust survivor. Flashbacks reveal her harrowing story, from pre-war prosperity to Auschwitz. In the present, Sophie and Nathan's relationship increasingly unravels as Stingo grows closer to Sophie and Nathan's fragile mental state becomes ever more apparent.",6.336,United Kingdom,1982-12-08,15764.0,7.5
1097,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,Steven Spielberg,83866.0,1097.0,"After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.",22.106,United States of America,1982-06-11,601.0,7.5
1098,"Search for One-eye Jimmy, The (1996)",Comedy,Sam Henry Kass,117577.0,1098.0,"While working on a documentary on his old neighborhood, a young film school graduate shifts the focus of his production onto the disappearance of a local resident and the strange characters who are conducting the search to find him.",1.271,United States of America,1994-11-14,67365.0,6.2
1099,"Christmas Carol, A (1938)",Drama,Edwin L. Marin,29992.0,1099.0,"Classic Charles Dickens holiday tale of Ebenezer Scrooge, the miser's miser who has a huge change of heart after spirits whisk him into the past, present, and future.",4.932,United States of America,1938-12-16,25842.0,7.1
1100,Days of Thunder (1990),Action|Romance,Tony Scott,99371.0,1100.0,"Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.",11.2,United States of America,1990-06-27,2119.0,6.1
1101,Top Gun (1986),Action|Romance,Tony Scott,92099.0,1101.0,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",12.959,United States of America,1986-05-16,744.0,6.8
1102,American Strays (1996),Action,Michael Covert,115531.0,1102.0,"The desert can be a lonely place for the people who live there or for those who are traveling through. It is also the teller of different stories including the story of a traveling salesman whose only commodity is death and the story of a young man who finds that the death that he wishes for is difficult to find. Others are just traveling through, on their way to another place when they stop to eat at Red's Desert Oasis. The food may not be great, and the waitress may be surly, but those who stopped at Red's will find that they are involved in the showdown of their life.",1.4,United States of America,1996-09-12,136311.0,6.8
1103,Rebel Without a Cause (1955),Drama,Nicholas Ray,48545.0,1103.0,"After moving to a new town, troublemaking teen Jim Stark is supposed to have a clean slate, although being the new kid in town brings its own problems. While searching for some stability, Stark forms a bond with a disturbed classmate, Plato, and falls for local girl Judy. However, Judy is the girlfriend of neighborhood tough, Buzz. When Buzz violently confronts Jim and challenges him to a drag race, the new kid's real troubles begin.",10.271,United States of America,1955-10-29,221.0,7.7
1104,"Streetcar Named Desire, A (1951)",Drama,Elia Kazan,44081.0,1104.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,9.042,United States of America,1951-09-18,702.0,7.8
1105,Children of the Corn IV: The Gathering (1996),Horror,Greg Spence,115885.0,1105.0,"Grace Rhodes, who is studying to be a doctor, returns to her hometown as a strange illness is afflicting the local children. The symptoms include a high fever and spasms, but even weirder is what happens the next day: All those with the illness claim they are somebody else -- then they begin murdering the grown-ups. After her sister undergoes the same sinister metamorphosis, Grace comes to believe there is some connection to an evil cult figure who may be returning from the grave.",6.756,United States of America,1996-10-08,25750.0,4.5
1106,"Leopard Son, The (1996)",Documentary,Hugo van Lawick,116859.0,1106.0,"The true story of the birth, growth and coming of age of a leopard cub in Africa's Serengeti plain. The journey of ""The Leopard Son"" begins at his mother's side where he discovers, through play, essential skills for survival in the wild. As it is with humans, there inevitably comes the day when a child must leave his mother to go out on his own.",1.122,Netherlands,1996-09-27,17642.0,0.0
1107,Loser (1991),Comedy,Twink Caplan,102336.0,1107.0,"On a university scholarship, a good natured student from the midwest gets a crash course in city life while dealing with three evil roommates. He befriends a virtually homeless college student whom he falls for, but she's dating a nasty professor.",10.569,United States of America,2000-07-21,,5.1
1108,Prerokbe Ognja (1995),Documentary,Michael Benson,,,"A visceral documentary focusing on the Slovenian collective art movement known as NSK ('Neue Slowenische Kunst') and its varied branches: 'Laibach', 'Irwin', and 'Red Pilot'.",0.6,Slovenia,1996-10-02,,8.0
1109,Charm's Incidents (1996),Drama,Michael Kreihsl,,,"Humourous interpretation of the poems and writings of Soviet dadaist Daniil Charms. These are organized into a sequence, suggesting a storyline, about a poor Russian poet who lives in Vienna, falls in love and has several bizarre adventures.",0.6,Austria,1996-10-03,,0.0
1110,Bird of Prey (1996),Action,Temístocles López,115684.0,1110.0,,1.091,United States of America,1995-09-12,146341.0,0.0
1111,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary,Claude Nuridsany,117040.0,1111.0,"A documentary of insect life in meadows and ponds, using incredible close-ups, slow motion, and time-lapse photography. It includes bees collecting nectar, ladybugs eating mites, snails mating, spiders wrapping their catch, a scarab beetle relentlessly pushing its ball of dung uphill, endless lines of caterpillars, an underwater spider creating an air bubble to live in, and a mosquito hatching.",6.723,France,1996-05-20,9305.0,7.7
1112,Palookaville (1996),Action|Drama,Alan Taylor,117284.0,1112.0,"Jerry and his two pals, Russ and Syd, are just looking for some easy money to help them break out of their nowhere lives in their nowhere town. Despite a bungled jewelry store heist which exposes their incompetence as criminals, a fateful event (and an old black-and-white film) convinces them that they can pull off an armored-truck robbery. While they are busy plotting their caper, their dysfunctional families spin out of control, all around them.",1.557,United States of America,1995-09-07,37616.0,5.7
1113,"Associate, The (1996)",Comedy,Donald Petrie,115580.0,1113.0,Laurel Ayres is a businesswoman trying to make it but unfortunately she works at a investment firm where she does all the work but all the senior investors like Frank Peterson grab all the credit. She then leaves and starts her own firm. While trying to find clients Laurel pretends that she has a male partner named Robert Cutty. And when she starts to do well all of her clients wants to meet Cutty which is difficult since he doesn't exist.,6.667999999999998,United States of America,1996-10-25,11112.0,6.5
1114,"Funeral, The (1996)",Drama,Abel Ferrara,116378.0,1114.0,The story concerns the funeral of one of three brothers in a family of gangsters that lived in New York in 1930s. Details of the past of the brothers and their families are shown through a series of flashbacks.,4.69,United States of America,1996-01-26,21612.0,7.1
1115,Sleepover (1995),Comedy|Drama,Chris Cullari,114472.0,1115.0,"The town of Derry has a secret, but no one told the new kid. It's gonna be a long night.",0.701,,2013-10-12,141210.0,7.3
1116,"Single Girl, A (La Fille Seule) (1995)",Drama,Benoît Jacquot,,,"A young Parisian must make major decisions about pregnancy, a job and her boyfriend.",3.304,France,1995-05-29,,6.5
1117,"Eighth Day, The (Le Huiti�me jour ) (1996)",Drama,Anders Grönros,,,"Children as real human individuals with the difficulties this involves. Anna and Peiter are 11 years old. Peiter's parents are divorced. Only for one week a year does he live with his father, on the same island as Anna. The children have been friends for years. But this year (because of beginning puberty?) they have difficulty in getting in real touch. Day after day they fail. - Outside a café Peiter boasts that he can do everything. Anna tells him to fetch the thing she is thinking of. He goes inside, asks a guest to rise and brings his chair to Anna. This was indeed the right thing, and this chair will re-appear in other scenes. Another day Peiter boasts that he is not afraid of being locked up in a desolate tower for a few hours. Anna closes the lock on the outside. But her parents prevent her from going out again and Peiter remained alone in the tower for the entire night. -Finally all seven days have gone and the gap that prevented full contact is still not closed.",0.973,Sweden,1979-01-13,,0.0
1118,Tashunga (1995),Adventure|Western,Nils Gaup,,,"Set during the Alaskan gold rush of the late 1800's. In his efforts to gain control of a small mining town, Sean McLennon is buying up every mining claim that becomes available, usually after the deaths of the previous owners at the hands of McLennon's 'assistants'. One of the miners targeted by McLennon, a half-Indian hunter named Hudson Saanteek, manages to escape his hired thugs and comes back into town looking to re-establish his claim and get revenge. McLennon and his men have the advantange of numbers and weapons, but Saanteek has his survival skills and knowledge of the Alaskan wilderness.",1.709,United States of America,1996-01-03,,4.4
1119,Drunks (1997),Drama,Peter Cohn,,,"At the beginning of a nightly Alcoholics Anonymous meeting, Jim seems particularly troubled. His sponsor encourages him to talk that night, the first time in seven months, so he does - and leaves the meeting right after. As Jim wanders the night, searching for some solace in his old stomping grounds, bars and parks where he bought drugs, the meeting goes on, and we hear the stories of survivors and addicts - some, like Louis, who claim to have wandered in looking for choir practice, who don't call themselves alcoholic, and others, like Joseph, whose drinking almost caused the death of his child - as they talk about their lives at the meeting",1.091,United States of America,1997-03-14,,0.0
1120,"People vs. Larry Flynt, The (1996)",Drama,Miloš Forman,117318.0,1120.0,"Larry Flynt is the hedonistically obnoxious, but indomitable, publisher of Hustler magazine. The film recounts his struggle to make an honest living publishing his girlie magazine and how it changes into a battle to protect the freedom of speech for all people.",8.585,United States of America,1996-10-12,1630.0,6.9
1121,Glory Daze (1996),Drama,Rich Wilkes,,,"It's punk rock meets Animal House in this campus comedy that stars Ben Affleck as Jack, a soon-to-be graduate who finds he's having a difficult time letting go of the college life -- and decides maybe he doesn't have to. Also questioning whether there's life after college are Jack's roommates: Rob, who fears domestication; comic-strip artist Mickey, who's shy around girls; intellectual party animal Slosh; and perpetual student Dennis.",3.206,United States of America,1995-10-01,,5.5
1122,Plutonium Circus (1995),Documentary,,114147.0,1122.0,"Funny yet incisive look at the PANTEX Nuclear Weapons Plant, in Amarillo, TX, which was used for nuclear weapons assembly during the Cold War. The plant, which provides most of the jobs for those living in Amarillo, now operates as a disassembly-line where the weapons, which were once built there, are now being taken apart with the plutonium getting stored underground. The film deals with the issues of storing the plutonium and the effects the plant has had (and is having) on the town of Amarillo, as well as how it has affected the way people thought about the Cold War and its aftermath. It does so by taking a look at the lives and activities of the Amarillo residents directly or indirectly associated with, or having strong opinions about the Plant.",,,,,
1123,"Perfect Candidate, A (1996)",Documentary,R. J. Cutler,117320.0,1123.0,"The filmmakers follow Oliver North's unsuccessful 1994 bid for a Virginia Senate seat, focusing on North's campaign strategist, Mark Goodin, and a Washington Post reporter. Mudslinging ensues.",1.181,,1996-06-19,124837.0,5.2
1124,On Golden Pond (1981),Drama,Mark Rydell,82846.0,1124.0,"For Norman and Ethel Thayer, this summer on golden pond is filled with conflict and resolution. When their daughter Chelsea arrives, the family is forced to renew the bonds of love and overcome the generational friction that has existed for years. Norman must find his way through his anger and fear of growing old, while Chelsea struggles to rebuild their relationship. Ethel's consistent support of her ""Knight in shining armor"" is inspirational in its simplicity. This is a movie to ponder and always keep in your heart.",8.125,United States of America,1981-12-04,11816.0,7.5
1125,"Return of the Pink Panther, The (1974)",Comedy,Blake Edwards,,,The famous Pink Panther jewel has once again been stolen and Inspector Clouseau is called in to catch the thief. The Inspector is convinced that 'The Phantom' has returned and utilises all of his resources – himself and his Asian manservant – to reveal the identity of 'The Phantom'.,5.786,United Kingdom,1975-05-21,,6.9
1126,Drop Dead Fred (1991),Comedy|Fantasy,Ate de Jong,101775.0,1126.0,"When Elizabeth returns to her mother's home after her marriage breaks up, she recreates her imaginary childhood friend, Fred, to escape from the trauma of losing her husband and her job. In between the chaos and mayhem that Fred creates, Elizabeth attempts to win back her husband and return to normality.",6.228,United Kingdom,1991-04-19,10379.0,6.1
1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,James Cameron,96754.0,1127.0,"A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.",10.428,United States of America,1989-08-09,2756.0,7.3
1128,"Fog, The (1980)",Horror,John Carpenter,80749.0,1128.0,"Strange things begin to occurs as a tiny California coastal town prepares to commemorate its centenary. Inanimate objects spring eerily to life; Rev. Malone stumbles upon a dark secret about the town's founding; radio announcer Stevie witnesses a mystical fire; and hitchhiker Elizabeth discovers the mutilated corpse of a fisherman. Then a mysterious iridescent fog descends upon the village, and more people start to die.",10.066,United States of America,1980-02-08,790.0,6.5
1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller,Nick Castle,82340.0,1129.0,"In 1997, the island of Manhattan has been walled off and turned into a giant maximum security prison within which the country's worst criminals are left to form their own anarchic society. However, when the President of the United States crash lands on the island, the authorities turn to a former soldier and current convict, Snake Plissken, to rescue him.",12.189,United Kingdom,1981-05-22,1103.0,7.1
1130,"Howling, The (1980)",Horror,Gary Brandner,82533.0,1130.0,"After a bizarre and near fatal encounter with a serial killer, a newswoman is sent to a rehabilitation center whose inhabitants may not be what they seem.",8.558,United States of America,1981-03-13,11298.0,6.4
1131,Jean de Florette (1986),Drama,Claude Berri,91288.0,1131.0,"In a rural French village, an old man and his only remaining relative cast their covetous eyes on an adjoining vacant property. They need its spring water for growing their flowers, and are dismayed to hear that the man who has inherited it is moving in. They block up the spring and watch as their new neighbour tries to keep his crops watered from wells far afield through the hot summer. Though they see his desperate efforts are breaking his health and his wife and daughter's hearts, they think only of getting the water.",5.534,France,1986-08-27,4480.0,7.8
1132,Manon of the Spring (Manon des sources) (1986),Drama,Claude Berri,91480.0,1132.0,"In this, the sequel to Jean de Florette, Manon (Beart) has grown into a beautiful young shepherdess living in the idyllic Provencal countryside. She plots vengeance on the men whose greedy conspiracy to acquire her father's land caused his death years earlier.",7.452000000000001,France,1986-11-19,4481.0,7.7
1133,Talking About Sex (1994),Comedy|Drama,Aaron Speiser,111357.0,1133.0,"Andie Norman (Kim Wayans) is a young publisher who gets a chance to remake a dry-text on ""assertive communication skills"" into a best selling book to be titled 'Talking About Sex'. Andie's boyfriend, Doug Penn (Daniel Beer), is a good guy whose sex life with Andie begins tapering off as he finds watching sports on TV more interesting. Andie assembles her female friends to videotape a rough cut of a discussion program for a TV documentary for her book as a promotional item. All of Andie's and Doug's friends later get together for an all-night cocktail party at their house to celebrate the upcoming release of the book where Andie, Doug and their friends end up revealing intimacies to each other over too many drinks which include past bed-hopping and infidelity with puts a test on all relationships in both hilarious and heartfelt ways which leads to Andie and Doug to decide if they can have a future together.",0.6,,,,0.0
1134,Johnny 100 Pesos (1993),Action|Drama,Gustavo Graef-Marino,,,"Emerging from twenty years locked away in jail, Johnny must now confront a heartless society to ensure that the son he never knew does not go down the same criminal path that he took in his youth.",0.6,Argentina,2017-01-25,,0.0
1135,Private Benjamin (1980),Comedy,Howard Zieff,81375.0,1135.0,A sheltered young high society woman joins the army on a whim and finds herself in a more difficult situation than she ever expected.,7.063,United States of America,1980-10-06,10765.0,6.1
1136,Monty Python and the Holy Grail (1974),Comedy,Terry Gilliam,,,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",24.917,United Kingdom,1975-05-25,,7.8
1137,Hustler White (1996),Romance,Bruce LaBruce,116587.0,1137.0,"Reminiscent of Sunset Boulevard, Hustler White transposes the action from the silver screen's old movie backlots to contemporary male prostitution and the porn industry. Said to be an homage to classic Hollywood cinema.",2.001,Canada,1996-07-19,44497.0,6.4
1138,Dadetown (1995),Documentary,Russ Hexter,112777.0,1138.0,"Interviews in the Michael Moore/""Roger and Me"" tradition examine life in small-town America, class conflicts and the collapse of an upstate New York community, Dadetown, when the town's once-prosperous factory, reduced to the manufacture of paper clips and staples, finally closes. Facing massive unemployment, the blue-collar Dadetown residents next find yuppies moving into town to staff the local division of a big computer outfit.",0.6,,1995-09-02,85588.0,8.0
1139,Everything Relative (1996),Drama,Sharon Pollack,116245.0,1139.0,Old college chums get together for a weekend reunion that is bound to open old wounds and perhaps heal them. New romances find a spark while old ones rekindle.,0.621,United States of America,1996-09-13,278621.0,4.0
1140,Entertaining Angels: The Dorothy Day Story (1996),Drama,Michael Ray Rhodes,116212.0,1140.0,"""Entertaining Angels"" is an interesting title for this movie about the 1920's and 30's social activist, Dorothy Day, for it can be regarded that what this woman did, sometimes single-handedly, always controversially, in her fight against social injustice would, indeed, be wonderful entertainment for angels... or it could mean that her work was for the benefit of the 'angels' at the bottom of the social ladder for whom she fought daily against those who would hold them down... this included her work as a suffregette. However it is meant, this film captures much of the real-life drama that took place on big city streets, and of the very personal trials which eventually led her to convert to roman Catholicism, and a dedication to helping the poor.",0.66,United States of America,1996-09-27,99479.0,5.0
1141,Hoogste tijd (1995),Drama,,,,Old entertainer gets a last chance to play a serious role.,,,,,
1142,Get Over It (1996),Drama,Michael Burns,116403.0,1142.0,"When Berke Landers, a popular high school basketball star, gets dumped by his life-long girlfriend, Allison, he soon begins to lose it. But with the help of his best friend Felix's sister Kelly, he follows his ex into the school's spring musical. Thus ensues a love triangle loosely based upon Shakespeare's ""A Midsummer Night's Dream"", where Berke is only to find himself getting over Allison and beginning to fall for Kelly.",6.827,United States of America,2001-03-08,,5.4
1143,Three Lives and Only One Death (1996),Comedy,Raúl Ruiz,,,"Raoul Ruiz’s enthralling thriller is made up of four intertwining stories of bizarre occurrences in Paris featuring a man who was stolen away by fairies, a professor who becomes a tramp, the lovers who inherit a chateau – and the last tale that connects all that has gone before.",2.391,Portugal,1996-05-15,,7.4
1144,"Line King: Al Hirschfeld, The (1996)",Documentary,Susan W. Dryfoos,,,"The childhood, adolescence, and incredible adult years of Al Hirschfeld, celebrated creator of thousands of line drawings of famous people - many in the entertainment industry - over a span of more than sixty years. He is still drawing in his nineties. His interesting domestic life, political, and cultural views are highlights. In addition, he talks about himself a bit - seriously and lightly.(At one point he he claims that his only form of exercise has been to live in his Manhattan townhouse: stairs). He drives his car around Manhattan - an adventure in itself. Brief interviews with, and reminiscences of many friends and associates.",0.6,,1996-09-27,,0.0
1145,Snowriders (1996),Documentary,,117677.0,1145.0,"Spectacular shots of snowcapped peaks and extreme skiers gracefully defying gravity, not to mention common sense, are the highlights of this entertaining video from the venerable guru of skiing movies, Warren Miller. Sparing no expense, Miller's film crews span the globe, shooting snowboarders careening down absurdly steep Alaskan peaks, ski guides helicoptering to remote slopes in British Columbia, and hardy (and uninhibited) Scotsmen who boldly catch some ""big air"" in kilts. This video is fraught with offbeat humor, including shots of a snowshoe race that could have been filmed by Mack Sennett, and footage of ""face jumping,"" the oddball diversion of hurling oneself off Alpine glaciers and parachuting to earth. Miller's gentle narration, replete with trademark corny remarks reminiscent of old movie newsreels, mixes with a musical soundtrack of contemporary rock that is often uncannily synched with the astounding footage of extreme skiing.",,,,79306.0,
1146,Curtis's Charm (1995),Comedy|Drama,John L'Ecuyer,112759.0,1146.0,"This film, based on a Jim Carroll short story, recounts the tale of Curtis and his encounter with voodoo. Curtis is a drug addict who has become paranoid, thinking that his wife's mother has cast evil spells on him. He meets his friend Jim and asks him for help in counteracting her black magic. Jim tries to reason with his friend, but when that fails, he decides to play along and make him a talisman. Drawing a snake on a scrap of paper and mumbling an incantation, Jim gives him this charm. This immediately solves Curtis's problems...or does it?",0.6,,1995-09-18,356054.0,0.0
1147,When We Were Kings (1996),Documentary,Leon Gast,118147.0,1147.0,"It's 1974. Muhammad Ali is 32 and thought by many to be past his prime. George Foreman is ten years younger and the heavyweight champion of the world. Promoter Don King wants to make a name for himself and offers both fighters five million dollars apiece to fight one another, and when they accept, King has only to come up with the money. He finds a willing backer in Mobutu Sese Suko, the dictator of Zaire, and the ""Rumble in the Jungle"" is set, including a musical festival featuring some of America's top black performers, like James Brown and B.B. King.",4.332,United States of America,1996-10-25,10548.0,7.6
1148,"Wrong Trousers, The (1993)",Animation|Comedy,Nick Park,,,"Gromit finds himself being pushed out of his room and home by a new lodger who is actually a ruthless criminal (and a small penguin). The penguin is planning a robbery and needs to use Wallace and his mechanical remote controlled trousers to pull off the raid. However, Gromit is wise to the penguin and comes to the rescue.",8.5,United Kingdom,1993-12-17,,7.6
1149,JLG/JLG - autoportrait de d�cembre (1994),Documentary|Drama,,,,,,,,,
1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",Drama,Daniel Vigne,84589.0,1150.0,"During the medieval times, Martin Guerre returns to his hometown in the middle of France, after being away in the war since he was a child. Nobody recognise him, and the people who knew him suspect he is not Martin, but he knows all about his family and friends, even the most unusual things. Is this man really Martin Guerre?",3.248,France,1982-05-12,4483.0,6.7
1151,Faust (1994),Animation|Comedy|Thriller,Jan Švankmajer,109781.0,1151.0,"A very free adaptation of Marlowe's 'Doctor Faustus', Goethe's 'Faust' and various other treatments of the old legend of the man who sold his soul to the devil. Svankmajer's Faust is a nondescript man who, after being lured by a strange map into a sinister puppet theatre, finds himself immersed in an indescribably weird version of the play, blending live actors, clay animation and giant puppets.",2.36,Czech Republic,1994-09-10,18919.0,7.4
1152,He Walked by Night (1948),Crime|Film-Noir|Thriller,Alfred L. Werker,40427.0,1152.0,"This film-noir piece, told in semi-documentary style, follows police on the hunt for a resourceful criminal who shoots and kills a cop.",2.72,United States of America,1948-11-24,31556.0,6.7
1153,Raw Deal (1948),Film-Noir,Anthony Mann,40723.0,1153.0,"In this film noir classic, a revenge-seeking gangster (Dennis O'Keefe) is sent to prison after being framed for a crime he didn't commit. After seducing a beautiful young woman, he uses her to help him carry out his plot for vengeance, leading him to the crazy pyromaniac (Raymond Burr) who set him up.",1.751,United States of America,1948-05-26,26167.0,7.1
1154,T-Men (1947),Film-Noir,Anthony Mann,39881.0,1154.0,"Two U.S. Treasury (""T-men"") agents go undercover in Detroit, and then Los Angeles, in an attempt to break a U.S. currency counterfeiting ring.",2.044,United States of America,1947-12-15,26174.0,6.5
1155,"Invitation, The (Zaproszenie) (1986)",Drama,Karyn Kusama,92281.0,1155.0,"Will and his new girlfriend Kira are invited to a dinner with old friends at the house of Will’s ex Eden and her new partner David. Although the evening appears to be relaxed, Will soon gets a creeping suspicion that their charming host David is up to something.",8.381,United States of America,2015-08-05,,6.5
